,text,score,user,time
0,哪吒:在我面前没人帅的起来,0,甜丧大叔,Fri Aug 02 13:27:01 +0800 2019
1,很棒的国漫，支持,2,奥斯卡最佳昵称,Fri Aug 02 13:26:54 +0800 2019
2,哪吒冲啊 自己的命自己扛,0,十里桃林与阿音,Fri Aug 02 13:26:58 +0800 2019
3,钱就该给有良心有实力的制作团队，拍烂片的人，就应该让他们连西北风都喝不到。,0,唯心晴,Fri Aug 02 13:29:17 +0800 2019
4,厉害了我的吒儿,-1,扣扣CHAN,Fri Aug 02 13:27:14 +0800 2019
5,小哪吒给我冲,1,想陪diamond去卢森堡,Fri Aug 02 13:27:29 +0800 2019
6,一有时间就去看，跪求不要下线太快,-1,今天超级喜欢你哇,Fri Aug 02 13:27:16 +0800 2019
7,我是小妖怪，逍遥又自在，杀人不眨眼，吃人不放盐,1,好久之人,Fri Aug 02 13:29:00 +0800 2019
8,只要中国电影用心制作，小制作也能有大回报,4,联合参谋部战略忽悠局,Fri Aug 02 13:28:08 +0800 2019
9,哪吒值得！！！冲！！,1,我什么也不想吃了,Fri Aug 02 13:27:26 +0800 2019
10,我命由我不由天！是魔是仙我说了算！！！,2,小橘子想要小骗子,Fri Aug 02 13:28:10 +0800 2019
11,我命由我不由天,0,熬夜少女的ID崩溃了,Fri Aug 02 13:28:24 +0800 2019
12,哪吒:在我面前没人帅的起来,0,喝杯奶茶又不会胖,Fri Aug 02 13:27:05 +0800 2019
13,我可以自豪的说，我曾经参加过一个15亿的项目,2,暖纪年why,Fri Aug 02 13:31:28 +0800 2019
14,国漫雄起！！！！！,0,kerwin是33,Fri Aug 02 13:27:08 +0800 2019
15,国漫之光,0,陌晨微凉_,Fri Aug 02 13:27:35 +0800 2019
16,看了，还看了三次,0,Jessica__FS,Fri Aug 02 13:29:22 +0800 2019
17,我只想说哪吒导演以及他背后的制作人真的很了不起，国漫的崛起从来都不缺乏，缺乏的只是良心制作，然后饺子导演给我们呈现的正是多年的心血。这都值得,2.0,凌榔榆,Fri Aug 02 13:34:14 +0800 2019
18,,0,末世荣耀,Fri Aug 02 14:41:51 +0800 2019
19,数据越夸张，越没有看的欲望，被《捉妖记》骗怕了,-3,跑步课本007,Fri Aug 02 13:27:05 +0800 2019
